Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
Q5TDH0	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; aspartic-type endopeptidase activity [GO:0004190]	Q5TDH0
Q99497	axon [GO:0030424]; cell body [GO:0044297]; cell-cell adherens junction [GO:0005913]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; membrane raft [GO:0045121]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; PML body [GO:0016605]; presynapse [GO:0098793]; androgen receptor binding [GO:0050681]; cadherin binding [GO:0045296]; copper ion binding [GO:0005507]; cupric ion binding [GO:1903135]; cuprous ion binding [GO:1903136]; cytokine binding [GO:0019955]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; L-dopa decarboxylase activator activity [GO:0036478]; mercury ion binding [GO:0045340]; mRNA binding [GO:0003729]; oxidoreductase activity, acting on peroxide as acceptor [GO:0016684]; peptidase activity [GO:0008233]; peroxiredoxin activity [GO:0051920]; protein deglycase activity [GO:0036524]; protein homodimerization activity [GO:0042803]; receptor binding [GO:0005102]; repressing transcription factor binding [GO:0070491]; scaffold protein binding [GO:0097110]; small protein activating enzyme binding [GO:0044388]; superoxide dismutase copper chaperone activity [GO:0016532]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; tyrosine 3-monooxygenase activator activity [GO:0036470]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]; ubiquitin-specific protease binding [GO:1990381]; activation of protein kinase B activity [GO:0032148]; adult locomotory behavior [GO:0008344]; autophagy [GO:0006914]; cellular response to glyoxal [GO:0036471]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to oxidative stress [GO:0034599]; detoxification of copper ion [GO:0010273]; detoxification of mercury ion [GO:0050787]; dopamine uptake involved in synaptic transmission [GO:0051583]; enzyme active site formation via L-cysteine sulfinic acid [GO:0018323]; glutathione deglycation [GO:0036531]; glycolate biosynthetic process [GO:0046295]; glyoxal metabolic process [GO:1903189]; hydrogen peroxide metabolic process [GO:0042743]; inflammatory response [GO:0006954]; lactate biosynthetic process [GO:0019249]; membrane depolarization [GO:0051899]; membrane hyperpolarization [GO:0060081]; methylglyoxal metabolic process [GO:0009438]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001268]; negative regulation of death-inducing signaling complex assembly [GO:1903073]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of gene expression [GO:0010629]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of hydrogen peroxide-induced neuron death [GO:1903208]; negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway [GO:1903384]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of neuron death [GO:1901215]; negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway [GO:1905259]; negative regulation of oxidative stress-induced cell death [GO:1903202]; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903377]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein acetylation [GO:1901984]; negative regulation of protein binding [GO:0032091]; negative regulation of protein export from nucleus [GO:0046826]; negative regulation of protein K48-linked deubiquitination [GO:1903094]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein sumoylation [GO:0033234]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of TRAIL-activated apoptotic signaling pathway [GO:1903122]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; negative regulation of ubiquitin-specific protease activity [GO:2000157]; peptidyl-arginine deglycation [GO:0036527]; peptidyl-cysteine deglycation [GO:0036526]; peptidyl-lysine deglycation [GO:0036528]; positive regulation of acute inflammatory response to antigenic stimulus [GO:0002866]; positive regulation of androgen receptor activity [GO:2000825]; positive regulation of dopamine biosynthetic process [GO:1903181]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of L-dopa biosynthetic process [GO:1903197]; positive regulation of L-dopa decarboxylase activity [GO:1903200]; positive regulation of mitochondrial electron transport, NADH to ubiquinone [GO:1902958]; positive regulation of mitophagy [GO:1903599]; positive regulation of NAD(P)H oxidase activity [GO:0033864]; positive regulation of oxidative phosphorylation uncoupler activity [GO:2000277]; positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902177]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein homodimerization activity [GO:0090073]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of pyrroline-5-carboxylate reductase activity [GO:1903168]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]; positive regulation of superoxide dismutase activity [GO:1901671]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; positive regulation of tyrosine 3-monooxygenase activity [GO:1903178]; protein deglycation, glyoxal removal [GO:0036529]; protein deglycation, methylglyoxal removal [GO:0036530]; protein deglycosylation [GO:0006517]; protein stabilization [GO:0050821]; Ras protein signal transduction [GO:0007265]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of inflammatory response [GO:0050727]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of neuron apoptotic process [GO:0043523]; regulation of supramolecular fiber organization [GO:1902903]; single fertilization [GO:0007338]	Q99497
O60610	cytosol [GO:0005829]; ficolin-1-rich granule membrane [GO:0101003]; microtubule organizing center [GO:0005815]; mitotic spindle [GO:0072686]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; secretory granule membrane [GO:0030667]; actin binding [GO:0003779]; ion channel binding [GO:0044325]; receptor binding [GO:0005102]; Rho GTPase binding [GO:0017048]; RNA binding [GO:0003723]; actin filament polymerization [GO:0030041]; cellular response to histamine [GO:0071420]; cytoskeleton organization [GO:0007010]; neutrophil degranulation [GO:0043312]; positive regulation of cell migration [GO:0030335]; protein localization to microtubule [GO:0035372]; regulation of cell motility [GO:2000145]; regulation of cell shape [GO:0008360]; regulation of microtubule-based process [GO:0032886]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; sensory perception of sound [GO:0007605]	O60610
P30101	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]; recycling endosome membrane [GO:0055038]; cysteine-type endopeptidase activity [GO:0004197]; disulfide oxidoreductase activity [GO:0015036]; peptide disulfide oxidoreductase activity [GO:0015037]; phospholipase C activity [GO:0004629]; protein disulfide isomerase activity [GO:0003756]; RNA binding [GO:0003723]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; cell redox homeostasis [GO:0045454]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein import into nucleus [GO:0006606]; protein retention in ER lumen [GO:0006621]; response to endoplasmic reticulum stress [GO:0034976]; signal transduction [GO:0007165]	P30101
P13667	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; melanosome [GO:0042470]; peptide disulfide oxidoreductase activity [GO:0015037]; protein disulfide isomerase activity [GO:0003756]; RNA binding [GO:0003723]; cell redox homeostasis [GO:0045454]; chaperone-mediated protein folding [GO:0061077]; protein folding [GO:0006457]; protein secretion [GO:0009306]; response to endoplasmic reticulum stress [GO:0034976]	P13667
Q15084	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; melanosome [GO:0042470]; plasma membrane [GO:0005886]; peptide disulfide oxidoreductase activity [GO:0015037]; protein disulfide isomerase activity [GO:0003756]; apoptotic cell clearance [GO:0043277]; cell redox homeostasis [GO:0045454]; IRE1-mediated unfolded protein response [GO:0036498]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	Q15084
P07237	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; procollagen-proline 4-dioxygenase complex [GO:0016222]; enzyme binding [GO:0019899]; integrin binding [GO:0005178]; peptide disulfide oxidoreductase activity [GO:0015037]; procollagen-proline 4-dioxygenase activity [GO:0004656]; protein disulfide isomerase activity [GO:0003756]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]; cell redox homeostasis [GO:0045454]; cellular response to hypoxia [GO:0071456]; lipoprotein biosynthetic process [GO:0042158]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of viral entry into host cell [GO:0046598]; protein folding [GO:0006457]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976]; response to reactive oxygen species [GO:0000302]	P07237
Q96A26	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cellular response to hypoxia [GO:0071456]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic process [GO:0043065]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]	Q96A26
A8MYX2		A8MYX2
Q8NCA5	tRNA-splicing ligase complex [GO:0072669]; RNA binding [GO:0003723]	Q8NCA5
Q9H799	ciliary transition zone [GO:0035869]; integral component of membrane [GO:0016021]; cerebellum development [GO:0021549]; cilium assembly [GO:0060271]; coronary vasculature development [GO:0060976]; embryonic digit morphogenesis [GO:0042733]; establishment of planar polarity [GO:0001736]; kidney development [GO:0001822]; palate development [GO:0060021]; protein localization to ciliary transition zone [GO:1904491]; ventricular septum development [GO:0003281]	Q9H799
Q8TBQ9	endomembrane system [GO:0012505]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; intracellular transport [GO:0046907]; protein secretion [GO:0009306]	Q8TBQ9
Q6ZQX7	protein arginylation [GO:0016598]	Q6ZQX7
Q9BX40	intracellular ribonucleoprotein complex [GO:0030529]; RNA binding [GO:0003723]; multicellular organism development [GO:0007275]; regulation of translation [GO:0006417]	Q9BX40
P61326	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; exon-exon junction complex [GO:0035145]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of translation [GO:0006417]; RNA export from nucleus [GO:0006405]; termination of RNA polymerase II transcription [GO:0006369]	P61326
Q9BXY0	intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; RNA binding [GO:0003723]; maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]	Q9BXY0
O75688	cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; protein serine/threonine phosphatase activity [GO:0004722]; N-terminal protein myristoylation [GO:0006499]; negative regulation of defense response to virus [GO:0050687]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of NF-kappaB import into nucleus [GO:0042347]; peptidyl-threonine dephosphorylation [GO:0035970]; protein dephosphorylation [GO:0006470]	O75688
Q9Y570	cadherin binding [GO:0045296]; protein C-terminal methylesterase activity [GO:0051722]; protein kinase binding [GO:0019901]; protein phosphatase 2A binding [GO:0051721]; protein phosphatase binding [GO:0019903]; protein phosphatase inhibitor activity [GO:0004864]; protein phosphatase regulator activity [GO:0019888]; protein demethylation [GO:0006482]	Q9Y570
P29590	cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; heterochromatin [GO:0000792]; nuclear chromosome, telomeric region [GO:0000784]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; cobalt ion binding [GO:0050897]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; SMAD binding [GO:0046332]; SUMO binding [GO:0032183]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cell cycle arrest [GO:0007050]; cell fate commitment [GO:0045165]; cellular response to interleukin-4 [GO:0071353]; cellular senescence [GO:0090398]; circadian regulation of gene expression [GO:0032922]; common-partner SMAD protein phosphorylation [GO:0007182]; defense response to virus [GO:0051607]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; entrainment of circadian clock by photoperiod [GO:0043153]; extrinsic apoptotic signaling pathway [GO:0097191]; fibroblast migration [GO:0010761]; innate immune response [GO:0045087]; interferon-gamma-mediated signaling pathway [GO:0060333]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; maintenance of protein location in nucleus [GO:0051457]; myeloid cell differentiation [GO:0030099]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell growth [GO:0030308]; negative regulation of cell proliferation [GO:0008285]; negative regulation of interleukin-1 beta secretion [GO:0050713]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:2000059]; negative regulation of telomerase activity [GO:0051974]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of translation in response to oxidative stress [GO:0032938]; negative regulation of viral release from host cell [GO:1902187]; PML body organization [GO:0030578]; positive regulation of apoptotic process involved in mammary gland involution [GO:0060058]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of histone deacetylation [GO:0031065]; positive regulation of MHC class I biosynthetic process [GO:0045345]; positive regulation of protein localization to chromosome, telomeric region [GO:1904816]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein complex assembly [GO:0006461]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; regulation of calcium ion transport into cytosol [GO:0010522]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]; regulation of double-strand break repair [GO:2000779]; regulation of protein phosphorylation [GO:0001932]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription, DNA-templated [GO:0006355]; response to cytokine [GO:0034097]; response to gamma radiation [GO:0010332]; response to hypoxia [GO:0001666]; response to UV [GO:0009411]; retinoic acid receptor signaling pathway [GO:0048384]; SMAD protein import into nucleus [GO:0007184]; transcription, DNA-templated [GO:0006351]; transforming growth factor beta receptor signaling pathway [GO:0007179]	P29590
Q86U86	BAF-type complex [GO:0090544]; nuclear chromosome [GO:0000228]; nucleoplasm [GO:0005654]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; chromatin remodeling [GO:0006338]; covalent chromatin modification [GO:0016569]; mitotic nuclear division [GO:0007067]; negative regulation of cell proliferation [GO:0008285]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	Q86U86
Q9P258	chromosome, centromeric core domain [GO:0034506]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; microtubule [GO:0005874]; midbody [GO:0030496]; mitotic spindle midzone [GO:1990023]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; microtubule binding [GO:0008017]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; Rac GTPase binding [GO:0048365]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]; activation of GTPase activity [GO:0090630]; cell division [GO:0051301]; chromosome passenger complex localization to kinetochore [GO:0072356]; establishment of protein localization [GO:0045184]; focal adhesion assembly [GO:0048041]; integrin-mediated signaling pathway [GO:0007229]; mitotic nuclear division [GO:0007067]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of GTPase activity [GO:0034260]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; regulation of cell migration [GO:0030334]; regulation of fibroblast migration [GO:0010762]; regulation of ruffle assembly [GO:1900027]; sister chromatid cohesion [GO:0007062]	Q9P258
O43663	contractile ring [GO:0070938]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle [GO:0005819]; spindle microtubule [GO:0005876]; spindle pole [GO:0000922]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; microtubule binding [GO:0008017]; protein kinase binding [GO:0019901]; cytokinesis [GO:0000910]; microtubule bundle formation [GO:0001578]; mitotic spindle elongation [GO:0000022]; positive regulation of cell proliferation [GO:0008284]	O43663
Q14690	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; transcription factor binding [GO:0008134]; mRNA processing [GO:0006397]; rRNA processing [GO:0006364]	Q14690
Q96ER3	extracellular space [GO:0005615]	Q96ER3
Q99590	nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal complex assembly [GO:0000245]	Q99590
Q01105	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; lipid particle [GO:0005811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein complex [GO:0043234]; DNA binding [GO:0003677]; histone binding [GO:0042393]; protein phosphatase inhibitor activity [GO:0004864]; protein phosphatase regulator activity [GO:0019888]; DNA replication [GO:0006260]; negative regulation of histone acetylation [GO:0035067]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleocytoplasmic transport [GO:0006913]; nucleosome assembly [GO:0006334]; nucleosome disassembly [GO:0006337]; regulation of mRNA stability [GO:0043488]; viral process [GO:0016032]	Q01105
Q7Z5N4	cell junction [GO:0030054]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; synapse [GO:0045202]; identical protein binding [GO:0042802]; behavioral response to cocaine [GO:0048148]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; regulation of dendritic spine development [GO:0060998]; retina layer formation [GO:0010842]; synapse assembly [GO:0007416]	Q7Z5N4
O94964	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; insulin receptor signaling pathway [GO:0008286]; negative regulation of gluconeogenesis [GO:0045721]; regulation of autophagy [GO:0010506]	O94964
O43609	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; bud elongation involved in lung branching [GO:0060449]; epithelial to mesenchymal transition involved in cardiac fibroblast development [GO:0060940]; establishment of mitotic spindle orientation [GO:0000132]; metanephros development [GO:0001656]; negative regulation of cell proliferation [GO:0008285]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of GTPase activity [GO:0034260]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of neurotrophin TRK receptor signaling pathway [GO:0051387]; negative regulation of Ras protein signal transduction [GO:0046580]; organ induction [GO:0001759]; ureteric bud development [GO:0001657]	O43609
O15027	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum organization [GO:0007029]; protein transport [GO:0015031]; substantia nigra development [GO:0021762]	O15027
Q15436	COPII vesicle coat [GO:0030127]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; smooth endoplasmic reticulum membrane [GO:0030868]; zinc ion binding [GO:0008270]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; COPII vesicle coating [GO:0048208]; ER to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	Q15436
O95486	COPII vesicle coat [GO:0030127]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; zinc ion binding [GO:0008270]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; COPII vesicle coating [GO:0048208]; ER to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; positive regulation of cholesterol homeostasis [GO:2000189]; positive regulation of protein secretion [GO:0050714]; regulation of low-density lipoprotein particle receptor biosynthetic process [GO:0045714]	O95486
P60468	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum Sec complex [GO:0031205]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; Sec61 translocon complex [GO:0005784]; ARF guanyl-nucleotide exchange factor activity [GO:0005086]; epidermal growth factor binding [GO:0048408]; RNA binding [GO:0003723]; IRE1-mediated unfolded protein response [GO:0036498]; posttranslational protein targeting to membrane, translocation [GO:0031204]; protein import into nucleus, translocation [GO:0000060]; retrograde protein transport, ER to cytosol [GO:0030970]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]; ubiquitin-dependent ERAD pathway [GO:0030433]	P60468
Q9C0H2	chloride channel complex [GO:0034707]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]; chloride channel activity [GO:0005254]; intracellular calcium activated chloride channel activity [GO:0005229]; chloride transport [GO:0006821]; ion transmembrane transport [GO:0034220]	Q9C0H2
Q9UBK9	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]; beta-tubulin binding [GO:0048487]; chromatin binding [GO:0003682]; microtubule binding [GO:0008017]; RNA polymerase II transcription corepressor activity [GO:0001106]; centrosome organization [GO:0051297]; microtubule cytoskeleton organization [GO:0000226]; mitochondrion transport along microtubule [GO:0047497]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription, DNA-templated [GO:0006351]	Q9UBK9
O95785	extracellular exosome [GO:0070062]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; SET domain binding [GO:0070984]; positive regulation of nuclear cell cycle DNA replication [GO:0010571]; protein heterotrimerization [GO:0070208]; protein stabilization [GO:0050821]	O95785
Q5T9L3	cytoplasmic vesicle [GO:0031410]; dendrite cytoplasm [GO:0032839]; dendrite membrane [GO:0032590]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; mu-type opioid receptor binding [GO:0031852]; signal transducer activity [GO:0004871]; Wnt-protein binding [GO:0017147]; anterior/posterior axis specification [GO:0009948]; exocrine pancreas development [GO:0031017]; hindbrain development [GO:0030902]; intracellular protein transport [GO:0006886]; mesoderm formation [GO:0001707]; midbrain development [GO:0030901]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of Wnt protein secretion [GO:0061357]; positive regulation of Wnt signaling pathway [GO:0030177]; Wnt protein secretion [GO:0061355]; Wnt signaling pathway [GO:0016055]	Q5T9L3
Q6AWC2	cytosol [GO:0005829]; kinase binding [GO:0019900]; protein complex scaffold [GO:0032947]; negative regulation of hippo signaling [GO:0035331]; negative regulation of organ growth [GO:0046621]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]	Q6AWC2
Q86YA3	integral component of membrane [GO:0016021]; zinc ion binding [GO:0008270]	Q86YA3
Q6TGC4	cytoplasm [GO:0005737]; intermediate filament cytoskeleton [GO:0045111]; nucleus [GO:0005634]; calcium ion binding [GO:0005509]; protein-arginine deiminase activity [GO:0004668]; cytoplasm organization [GO:0007028]; cytoskeleton organization [GO:0007010]; histone citrullination [GO:0036414]; regulation of translation by machinery localization [GO:0043143]	Q6TGC4
